     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
V15   X   X   X   X   X  49   X   X   X   X   X   X  44  23  52   X   2   X   X  80   X   X  74   X   4 
V16   X   X   X   X  77   X   X   9   X   X   X  27   X  22   X   2   X   X  74   X  60 100   X   X  53 
V17   X   X  19   X   X   X  93   X   X   X  72  44  39   X   2   X   X   X   X   X  51   X  36   X  71 
V18   X   X  78   X   X   X   X   X   X   X   X  98   X   X   X   X  74   X   X   X   X   5   X   X   X 
V19   X   X   X   X   3   X  13  45   7   7  24   X   X   X   X  80   X   X   X   X  85   X   X  98  77 
V20  46   X  63   X   X   X  65   X   X  11  56   X   X   X   X   X  60  51   X  85   X  97   X  47   X 
V21   X   X  80   X  74   X   X   X   X  69  82   X   7  74   X   X 100   X   5   X  97   X  83   X  31 
V22   X  36   X   X  65  71  61   X   X   X   X   X   X  17  60  74   X  36   X   X   X  83   X  70   X 
V23   X  41   X  60   X   X   X   X   X   X   X   X   X  45   X   X   X   X   X  98  47   X  70   X  82 
V24   X   X  97   X   X  30   X   X   X   X   X   X   X  72   X   4  53  71   X  77   X  31   X  82   X 
(V15-V16,2)(V14-V17,2)(V19-V4,3)(V15-V24,4)(V18-V21,5)(V10-V11,6)(V12-V21,7)(V9-V19,7)(V8-V19,7)(V14-V3,8)(V7-V16,9)(V5-V3,10)(V20-V9,11)(V6-V19,13)(V22-V13,17)(V2-V17,19)(V16-V13,22)(V2-V11,22)(V4-V7,23)(V5-V7,23)(V24-V21,31)(V10-V1,36)(V1-V23,41)(V20-V0,46)最小生成树总权值为374
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  90   X   X   X   X  74   X   X   X  71   X   X   X  39   X   6   X   X  37   X   X  83   X   X 
 V1  90   X  58  52   X   X  45   X   X   X  66   X   X   X   X   X   X  72   X   X   X   X   X   X   X 
 V2   X  58   X   X   2   X   X   X  74   X  16   X  20   X  31   X   X  51  42  45   X   X   X   6   X 
 V3   X  52   X   X   X   X   9   X   X 100   X  21   X   X   X   X   X  86   X  73   X   X   X   X  37 
 V4   X   X   2   X   X   X  86   X  84   X   X   X   X  62   X  10  45  86   X   X   X  42  71  54   X 
 V5   X   X   X   X   X   X   X   X   X  51   X   X   X   X  52   X   X   X  28   X  26  36   X   X   X 
 V6  74  45   X   9  86   X   X  22   X  13  93   X  38   X   X   X   X   X   9   X   X  98   X  31   X 
 V7   X   X   X   X   X   X  22   X  14   X  28  98  50   X  37   X   X  57  62   X   X   X   X   X  47 
 V8   X   X  74   X  84   X   X  14   X   X   X   X   X  37   X   X   X  22  86   X   X  32  58   X  73 
 V9   X   X   X 100   X  51  13   X   X   X   X   X   X   X   X   X  39   X   X   X   X  77   X   X  62 
V10  71  66  16   X   X   X  93  28   X   X   X  83   X   X   8  72   X   X   X   X   X   X   X   X   X 
V11   X   X   X  21   X   X   X  98   X   X  83   X  50   X   X   X   X  68  64   1   X   X   X   X   X 
V12   X   X  20   X   X   X  38  50   X   X   X  50   X  45   X   X   X   X   X  81   X   X  57   X  95 
V13   X   X   X   X  62   X   X   X  37   X   X   X  45   X   1  38   X  91   7   9   X   X   X   X   X 
V14  39   X  31   X   X  52   X  37   X   X   8   X   X   1   X   X   5   X  24   X   X   X   X   X  99 
V15   X   X   X   X  10   X   X   X   X   X  72   X   X  38   X   X   X  71  83   X   X  26   X   X  84 
V16   6   X   X   X  45   X   X   X   X  39   X   X   X   X   5   X   X  75   X   X  60   X   X   X   X 
V17   X  72  51  86  86   X   X  57  22   X   X  68   X  91   X  71  75   X  26   X   X   X  60   X   X 
V18   X   X  42   X   X  28   9  62  86   X   X  64   X   7  24  83   X  26   X   X   X  37  95  35   X 
V19  37   X  45  73   X   X   X   X   X   X   X   1  81   9   X   X   X   X   X   X   X  94   X  29  27 
V20   X   X   X   X   X  26   X   X   X   X   X   X   X   X   X   X  60   X   X   X   X  88   X  62   X 
V21   X   X   X   X  42  36  98   X  32  77   X   X   X   X   X  26   X   X  37  94  88   X   X   X   X 
V22  83   X   X   X  71   X   X   X  58   X   X   X  57   X   X   X   X  60  95   X   X   X   X   X   X 
V23   X   X   6   X  54   X  31   X   X   X   X   X   X   X   X   X   X   X  35  29  62   X   X   X   X 
V24   X   X   X  37   X   X   X  47  73  62   X   X  95   X  99  84   X   X   X  27   X   X   X   X   X 
(V11-V19,1)(V13-V14,1)(V4-V2,2)(V14-V16,5)(V16-V0,6)(V23-V2,6)(V18-V13,7)(V10-V14,8)(V13-V19,9)(V3-V6,9)(V18-V6,9)(V4-V15,10)(V6-V9,13)(V8-V7,14)(V10-V2,16)(V12-V2,20)(V8-V17,22)(V7-V6,22)(V21-V15,26)(V5-V20,26)(V24-V19,27)(V5-V18,28)(V6-V1,45)(V22-V12,57)最小生成树总权值为389
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X   X   X   X   X  14   X   X   X   X   X   X   X   X   X   X   X  30   X   X  66 
 V1   X   X   X  53   X   X   X   X  92   X   X  56  21   X   X  49   X   8  84   X  24   X   X   X  70 
 V2   X   X   X   X  90  47   3   X   X  56  54   X  90  57   X   X   X   X  62   X   X  83   X   X   X 
 V3   X  53   X   X  15   X   X   X  95  28  28   X   X   X   X   X   X   X   X   X   X  66   X  30   X 
 V4   X   X  90  15   X  25   X  53   X  81   X  15   X   X   4   X   X  46   X   X   X   X   X   X   X 
 V5   X   X  47   X  25   X   X   X   X   X   X   X   X  18  83   X  33   X   X  96   X   X   X  27  25 
 V6   X   X   3   X   X   X   X   X   X  14  92  11   X   X  41   X   X  68   X  86   X   X   X 100   X 
 V7   X   X   X   X  53   X   X   X   X   X   X   X 100   X   X  25  17   X   X   X   X   X   X   X   X 
 V8   X  92   X  95   X   X   X   X   X  37   X  84   X   X   X   X   X   X  63   X  88   X   X  72   X 
 V9  14   X  56  28  81   X  14   X  37   X  23  69   X  53   X   X   X   X   X   X 100   X  42  98   X 
V10   X   X  54  28   X   X  92   X   X  23   X   X   X  56   X  24   X   X   X  64   X   X   X   X  34 
V11   X  56   X   X  15   X  11   X  84  69   X   X   X  91   X  29  22   X   X   X  27  91  16  75   X 
V12   X  21  90   X   X   X   X 100   X   X   X   X   X  39   X   X  16  21   X  48   X  36  13   X  83 
V13   X   X  57   X   X  18   X   X   X  53  56  91  39   X   X  47   X   X  90   X  34   X   X  99   X 
V14   X   X   X   X   4  83  41   X   X   X   X   X   X   X   X   X   X   X   X   X  37   X   X  93   X 
V15   X  49   X   X   X   X   X  25   X   X  24  29   X  47   X   X   X   X   9   X   X   X 100   X   X 
V16   X   X   X   X   X  33   X  17   X   X   X  22  16   X   X   X   X   X   X   X  43   X   2   X   X 
V17   X   8   X   X  46   X  68   X   X   X   X   X  21   X   X   X   X   X  45   X   X   X   X   X   X 
V18   X  84  62   X   X   X   X   X  63   X   X   X   X  90   X   9   X  45   X   X  32   X  58  87  29 
V19   X   X   X   X   X  96  86   X   X   X  64   X  48   X   X   X   X   X   X   X   X   X  27   X  16 
V20   X  24   X   X   X   X   X   X  88 100   X  27   X  34  37   X  43   X  32   X   X   X  35  99   X 
V21  30   X  83  66   X   X   X   X   X   X   X  91  36   X   X   X   X   X   X   X   X   X   X  94  26 
V22   X   X   X   X   X   X   X   X   X  42   X  16  13   X   X 100   2   X  58  27  35   X   X   X   X 
V23   X   X   X  30   X  27 100   X  72  98   X  75   X  99  93   X   X   X  87   X  99  94   X   X  10 
V24  66  70   X   X   X  25   X   X   X   X  34   X  83   X   X   X   X   X  29  16   X  26   X  10   X 
(V16-V22,2)(V6-V2,3)(V4-V14,4)(V17-V1,8)(V18-V15,9)(V23-V24,10)(V6-V11,11)(V12-V22,13)(V0-V9,14)(V6-V9,14)(V3-V4,15)(V11-V4,15)(V22-V11,16)(V19-V24,16)(V7-V16,17)(V5-V13,18)(V17-V12,21)(V9-V10,23)(V20-V1,24)(V15-V10,24)(V5-V4,25)(V24-V5,25)(V24-V21,26)(V9-V8,37)最小生成树总权值为390
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  54   X  33  46   X  27  56   X   X   X   X  51  34   X   X   X   X   X   X  41   X  14   X 
 V1   X   X   X   X  98   X  46   X   X  92   X   X  12  66   X   X   X   X   X   X   X   X   X   X   X 
 V2  54   X   X   X   X   X   X  12  73  99   X  72   X   X  67  15  55   X   X  75   X   X  76   X   X 
 V3   X   X   X   X   X   X   X   X   X  49 100  34   X   X   X   X   X   X   X   X   X   X   X   X   8 
 V4  33  98   X   X   X  79   X  94  41   X   X   X   X   X   X   X  26   X  98   X  78  16   X   X  20 
 V5  46   X   X   X  79   X  77   X   X   X   X   9  15   X   X  50   X   X   X   X  33   X   X  55   X 
 V6   X  46   X   X   X  77   X   X   X  18  68   6   X  93   X   X   X  60   X   X   X   3   X   X   X 
 V7  27   X  12   X  94   X   X   X   X   X  71   X   X  47  13   X  61   X  73   X  72   X   X  74   X 
 V8  56   X  73   X  41   X   X   X   X  25   X   X   X   X  36   X   X  40  67  17  91  64   X   X  31 
 V9   X  92  99  49   X   X  18   X  25   X   X   X   X   X   X   X   X   X   X   X   X   X   X  77   3 
V10   X   X   X 100   X   X  68  71   X   X   X   X   X   X 100   X   X  86   X  61  16   X   X   X   X 
V11   X   X  72  34   X   9   6   X   X   X   X   X   X   3  72   X   X   X  87   X   X   X  10  90   X 
V12   X  12   X   X   X  15   X   X   X   X   X   X   X   X   6  77   X   X   X   X   X   X  58   X   X 
V13  51  66   X   X   X   X  93  47   X   X   X   3   X   X  69   X   X   2  11   X  64   X   X   X   X 
V14  34   X  67   X   X   X   X  13  36   X 100  72   6  69   X   X  86  12   X  48  25   X  88  72   X 
V15   X   X  15   X   X  50   X   X   X   X   X   X  77   X   X   X  60   X  40  40   X  93   X   X  55 
V16   X   X  55   X  26   X   X  61   X   X   X   X   X   X  86  60   X   X   X  47  18   X   X   X   X 
V17   X   X   X   X   X   X  60   X  40   X  86   X   X   2  12   X   X   X   X   X   X   X   X   X  21 
V18   X   X   X   X  98   X   X  73  67   X   X  87   X  11   X  40   X   X   X   X   X   X   X  15   X 
V19   X   X  75   X   X   X   X   X  17   X  61   X   X   X  48  40  47   X   X   X  82   X   X   X   X 
V20   X   X   X   X  78  33   X  72  91   X  16   X   X  64  25   X  18   X   X  82   X  89   X   X   X 
V21  41   X   X   X  16   X   3   X  64   X   X   X   X   X   X  93   X   X   X   X  89   X   X   X   X 
V22   X   X  76   X   X   X   X   X   X   X   X  10  58   X  88   X   X   X   X   X   X   X   X  86   6 
V23  14   X   X   X   X  55   X  74   X  77   X  90   X   X  72   X   X   X  15   X   X   X  86   X   9 
V24   X   X   X   8  20   X   X   X  31   3   X   X   X   X   X  55   X  21   X   X   X   X   6   9   X 
(V17-V13,2)(V9-V24,3)(V13-V11,3)(V6-V21,3)(V14-V12,6)(V6-V11,6)(V24-V22,6)(V24-V3,8)(V24-V23,9)(V11-V5,9)(V22-V11,10)(V13-V18,11)(V7-V2,12)(V17-V14,12)(V1-V12,12)(V14-V7,13)(V23-V0,14)(V15-V2,15)(V10-V20,16)(V21-V4,16)(V8-V19,17)(V16-V20,18)(V9-V8,25)(V20-V14,25)最小生成树总权值为271
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  32  96   X   X  22   X   X  30   X   X   X   3   X  77  24  49  66   X   X  64   X   X  94  72 
 V1  32   X   X   X   X   X   X   X   X  34   X  97   X   X   X  59  96   X   X   X   X   3   X   X   X 
 V2  96   X   X   X  88  92  13  94   X   X   X   X   X   X   X   X  80  93   X  50   X   X   X   X   X 
 V3   X   X   X   X  36  92  40   X   3   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X 
 V4   X   X  88  36   X  56   X   X   X   X   X  59   X  89   X   5   X   X   X   X  66   X  64  93  59 
 V5  22   X  92  92  56   X  36  42  69  88   X  23  86   X   X   X   X  54   X   X   X   X  48  17   X 
 V6   X   X  13  40   X  36   X   X   X   X   X  98   X  77  37   X   X   X   X   X   X  17   X  18   X 
 V7   X   X  94   X   X  42   X   X   X   X  67  27   X   X  89   X   X   X   X  61   X   X  35   X  35 
 V8  30   X   X   3   X  69   X   X   X   X   X  37   X   X  87   X   X   X   X   X   X  70   X   X   X 
 V9   X  34   X   X   X  88   X   X   X   X   X   X  75   5   X   X  14  17   X  85   X  19   X   X   X 
V10   X   X   X   X   X   X   X  67   X   X   X  50   X  46   X   X   X  89   X   X   X   X   X   X  91 
V11   X  97   X   X  59  23  98  27  37   X  50   X   X   X   3   X  86   X   7   X  15   X   X   X   X 
V12   3   X   X   X   X  86   X   X   X  75   X   X   X   X  57   X  92   X   X   X   X   X  81   X  50 
V13   X   X   X   X  89   X  77   X   X   5  46   X   X   X   X   X  76   X  30   X   X   X   X   X   X 
V14  77   X   X   X   X   X  37  89  87   X   X   3  57   X   X   X  62   8   X  36  92   X  47  76   X 
V15  24  59   X   X   5   X   X   X   X   X   X   X   X   X   X   X   X   X   X  30   X  77   X   X  56 
V16  49  96  80   X   X   X   X   X   X  14   X  86  92  76  62   X   X   X   X   X   X   X   X   X   X 
V17  66   X  93   X   X  54   X   X   X  17  89   X   X   X   8   X   X   X   X   X   X  26   X  11   X 
V18   X   X   X   X   X   X   X   X   X   X   X   7   X  30   X   X   X   X   X   X  67   X   X   X   X 
V19   X   X  50   X   X   X   X  61   X  85   X   X   X   X  36  30   X   X   X   X   X   4  45   X  22 
V20  64   X   X   X  66   X   X   X   X   X   X  15   X   X  92   X   X   X  67   X   X  52  42  89   X 
V21   X   3   X   X   X   X  17   X  70  19   X   X   X   X   X  77   X  26   X   4  52   X   X  33  82 
V22   X   X   X   X  64  48   X  35   X   X   X   X  81   X  47   X   X   X   X  45  42   X   X   X   X 
V23  94   X   X   X  93  17  18   X   X   X   X   X   X   X  76   X   X  11   X   X  89  33   X   X  71 
V24  72   X   X   X  59   X   X  35   X   X  91   X  50   X   X  56   X   X   X  22   X  82   X  71   X 
(V11-V14,3)(V12-V0,3)(V21-V1,3)(V8-V3,3)(V19-V21,4)(V4-V15,5)(V13-V9,5)(V18-V11,7)(V17-V14,8)(V17-V23,11)(V6-V2,13)(V9-V16,14)(V11-V20,15)(V6-V21,17)(V9-V17,17)(V5-V23,17)(V23-V6,18)(V19-V24,22)(V0-V5,22)(V15-V0,24)(V7-V11,27)(V8-V0,30)(V7-V22,35)(V10-V13,46)最小生成树总权值为369
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   9   X   X   X  19   X  73  69   X   X  66   X   X   X   X   X   X  50   X   X   X   X  18 
 V1   X   X  45   X  11  72   4   X   X   X   X  44   X   X   X   X   X   X   X  49   X   X   X   X   X 
 V2   9  45   X   X  16  52   X   X  99  33   X  88   2  82   X  56   X   X   X   2   X   X  96   X  93 
 V3   X   X   X   X   X   X   X   X  22  45  34  19   X  21   X   X   X   X   X  37   X   X  37   X  58 
 V4   X  11  16   X   X   X   X   X   X   X  77   X  30   X  64   X   X  38   X   X   X  73   X  59  70 
 V5   X  72  52   X   X   X  74  66   X   X   X   X  88   X   X   X   X   X  65   X  97   X   X   X  77 
 V6  19   4   X   X   X  74   X   X   1  81  75   X  42   X   X   1   X   X   X   X   X   X   X   X   X 
 V7   X   X   X   X   X  66   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X 
 V8  73   X  99  22   X   X   1   X   X  14   X   X  86   X   X  10   X  63   X  95   X   X   X   X  31 
 V9  69   X  33  45   X   X  81   X  14   X  62   X   X   X   X   X   X   X   X   X  24  31   X  37  51 
V10   X   X   X  34  77   X  75   X   X  62   X  23   9   X   X   X  71   X  16   X  15   X  89  75   X 
V11   X  44  88  19   X   X   X   X   X   X  23   X   X   X   X   4   X   X   X   X   X   X  82   X   X 
V12  66   X   2   X  30  88  42   X  86   X   9   X   X   X   X   X   7   X   X   X  40  50  20   X  14 
V13   X   X  82  21   X   X   X   X   X   X   X   X   X   X   X  90   X   X   X   X   8   X   X  34   X 
V14   X   X   X   X  64   X   X   X   X   X   X   X   X   X   X  37   X 100  29   X   X  49   X   X  28 
V15   X   X  56   X   X   X   1   X  10   X   X   4   X  90  37   X   X   X   X   X  88   X   X  86  65 
V16   X   X   X   X   X   X   X   X   X   X  71   X   7   X   X   X   X   X   X   X   X  92   7  23   X 
V17   X   X   X   X  38   X   X   X  63   X   X   X   X   X 100   X   X   X  41  14   X  14   X   X  10 
V18   X   X   X   X   X  65   X   X   X   X  16   X   X   X  29   X   X  41   X  73   1  20   X   X   X 
V19  50  49   2  37   X   X   X   X  95   X   X   X   X   X   X   X   X  14  73   X   X   X   X   X   X 
V20   X   X   X   X   X  97   X   X   X  24  15   X  40   8   X  88   X   X   1   X   X  33  64   X   X 
V21   X   X   X   X  73   X   X   X   X  31   X   X  50   X  49   X  92  14  20   X  33   X   X  77   X 
V22   X   X  96  37   X   X   X   X   X   X  89  82  20   X   X   X   7   X   X   X  64   X   X   X  39 
V23   X   X   X   X  59   X   X   X   X  37  75   X   X  34   X  86  23   X   X   X   X  77   X   X   X 
V24  18   X  93  58  70  77   X   X  31  51   X   X  14   X  28  65   X  10   X   X   X   X  39   X   X 
(V15-V6,1)(V6-V8,1)(V20-V18,1)(V12-V2,2)(V19-V2,2)(V11-V15,4)(V1-V6,4)(V22-V16,7)(V12-V16,7)(V13-V20,8)(V2-V0,9)(V10-V12,9)(V24-V17,10)(V1-V4,11)(V17-V19,14)(V8-V9,14)(V17-V21,14)(V10-V20,15)(V4-V2,16)(V11-V3,19)(V23-V16,23)(V24-V14,28)(V5-V2,52)(V7-V5,66)最小生成树总权值为337
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  92   X   5   X  20  18   X   X   X  43  23   X   X  51  31   2   X  68  54   X   X   X   X   X 
 V1  92   X   X   X   X   X  88   X   X   X   X   X  17   X  63   X  65   X   X   X   X   X  89   X   X 
 V2   X   X   X   X  28   X   X  95  32   X   X  32   X   X   X   X   X   X   X  35   X  36   X   X   X 
 V3   5   X   X   X  59   X   X   X   X   X  93  65   X   X   X  39  33  79  53  90   X   X   X  27   X 
 V4   X   X  28  59   X   X  29   X   X   X   X  82  50   X   X  30   X  47   X  11   X   X   X   X   X 
 V5  20   X   X   X   X   X   X  16   9  82   X   X  63   X   X   X   X  43  58   X   X   X   X  75  81 
 V6  18  88   X   X  29   X   X   X   X   X   X   X   X  48   4   X   X   X   X  69   X  56   X   X   X 
 V7   X   X  95   X   X  16   X   X   X   X  89   X   X   X  31  13  69   X  55  25   X   X   X   X   X 
 V8   X   X  32   X   X   9   X   X   X   X   X  37   X   8   X   X  12   X   X   X   X   X   X   X  53 
 V9   X   X   X   X   X  82   X   X   X   X  58   X   X   X  79  89   X   X   X   X   X   X  56  90   X 
V10  43   X   X  93   X   X   X  89   X  58   X   X  18   X   6   X   X  87   X   X  50   X   X  64   X 
V11  23   X  32  65  82   X   X   X  37   X   X   X   X   X  64   X   7   X   X   X   X   X  49  68   X 
V12   X  17   X   X  50  63   X   X   X   X  18   X   X   X   X   X  32   X   X   X   X   X   X  30  62 
V13   X   X   X   X   X   X  48   X   8   X   X   X   X   X   X   X   X   X  68  84   2  69   X  64   X 
V14  51  63   X   X   X   X   4  31   X  79   6  64   X   X   X  74   X   X   X  20  23   X  99   X  61 
V15  31   X   X  39  30   X   X  13   X  89   X   X   X   X  74   X   X   X   X   X   X  14   X   X  21 
V16   2  65   X  33   X   X   X  69  12   X   X   7  32   X   X   X   X  40   X   X   X   X  86   X   X 
V17   X   X   X  79  47  43   X   X   X   X  87   X   X   X   X   X  40   X  59   X   X  33   6   X   X 
V18  68   X   X  53   X  58   X  55   X   X   X   X   X  68   X   X   X  59   X   X   X   X   X   X   X 
V19  54   X  35  90  11   X  69  25   X   X   X   X   X  84  20   X   X   X   X   X  59  42   X  74   X 
V20   X   X   X   X   X   X   X   X   X   X  50   X   X   2  23   X   X   X   X  59   X   X   X   X   X 
V21   X   X  36   X   X   X  56   X   X   X   X   X   X  69   X  14   X  33   X  42   X   X   X 100  66 
V22   X  89   X   X   X   X   X   X   X  56   X  49   X   X  99   X  86   6   X   X   X   X   X  87   4 
V23   X   X   X  27   X  75   X   X   X  90  64  68  30  64   X   X   X   X   X  74   X 100  87   X   X 
V24   X   X   X   X   X  81   X   X  53   X   X   X  62   X  61  21   X   X   X   X   X  66   4   X   X 
(V20-V13,2)(V16-V0,2)(V24-V22,4)(V14-V6,4)(V3-V0,5)(V17-V22,6)(V10-V14,6)(V11-V16,7)(V8-V13,8)(V5-V8,9)(V19-V4,11)(V16-V8,12)(V15-V7,13)(V15-V21,14)(V7-V5,16)(V12-V1,17)(V6-V0,18)(V12-V10,18)(V14-V19,20)(V15-V24,21)(V23-V3,27)(V2-V4,28)(V3-V18,53)(V9-V22,56)最小生成树总权值为377
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X   X   X   X   X   X   4   X   X   X  28  54   X   X   X   X   X   X  35   X  59 
 V1   X   X   X   X   5  20   X  74   X   X   X  55   X   X   X  84   X  50   X   X 100  51   X   X  76 
 V2   X   X   X   X  91  23   X   X   X   X   X   X   X   X   X   X   X   1  45   X   X  23   X   X  74 
 V3   X   X   X   X   X   6  33   X   X   X   X   X   X   X   X   X   X   X  62  89  60   X   X   X  16 
 V4   X   5  91   X   X   X   X   X   X   X   X   X   X  63   X   X   X   X   X   X   X  88   X   X   X 
 V5   X  20  23   6   X   X  25   X   X   X   X   X   X  33   9  15  35   X   X   X   X  77   X   X   X 
 V6   X   X   X  33   X  25   X  11   X  82  35   X   X   X   X  14   X  65   X  99   X   X   X   X  10 
 V7   X  74   X   X   X   X  11   X   X   X   X   X  37  28   X  85   X  58   X  14  33  40  45   X   X 
 V8   X   X   X   X   X   X   X   X   X  50   X  17   X   X   X  95   X 100  20  81  92  94   X  17   X 
